id,title,work_type,zone_id,start_at,end_at,description,uses_flammable_material,gas_measurement_completed,ventilation_confirmed,watcher_assigned,status
W001,A블록 1구역 보강재 용접,HOT_WORK,A_BLOCK_1,2026-03-16T09:00:00+09:00,2026-03-16T12:00:00+09:00,블록 보강재 맞대기 용접,,,,,REVIEWED
W002,A블록 1구역 외판 도장,PAINTING,A_BLOCK_1,2026-03-16T11:00:00+09:00,2026-03-16T14:00:00+09:00,외판 하도 도장,,,,,DRAFT
W003,조립장 2 부재 절단,HOT_WORK,ASSEMBLY_2,2026-03-16T13:00:00+09:00,2026-03-16T16:00:00+09:00,가스 절단 작업,,,,,REVIEWED
W004,도장공장 스프레이 도장,PAINTING,PAINT_SHOP,2026-03-16T15:00:00+09:00,2026-03-16T17:00:00+09:00,소조립 부재 스프레이 도장,,,,,DRAFT
W005,용접공장 1 파이프 용접,HOT_WORK,WELD_SHOP_1,2026-03-16T08:00:00+09:00,2026-03-16T11:00:00+09:00,배관 스풀 용접,,,,,REVIEWED
W006,용접공장 1 시너 세척,SOLVENT_WORK,WELD_SHOP_1,2026-03-16T10:00:00+09:00,2026-03-16T12:00:00+09:00,시너를 이용한 표면 세척,,,,,DRAFT
W007,1도크 선체 용접,HOT_WORK,DOCK_1,2026-03-16T09:00:00+09:00,2026-03-16T12:00:00+09:00,도크 내 선체 용접,,,,,REVIEWED
W008,2도크 유류 호스 정비,OTHER,DOCK_2,2026-03-16T10:00:00+09:00,2026-03-16T13:00:00+09:00,연료 호스 교체 정비,true,,,,DRAFT
W009,의장 1구역 지지대 용접,HOT_WORK,OUTFIT_1,2026-03-16T08:00:00+09:00,2026-03-16T10:00:00+09:00,의장품 지지대 용접,,,,,REVIEWED
W010,의장 1구역 도장 보수,PAINTING,OUTFIT_1,2026-03-16T12:00:00+09:00,2026-03-16T15:00:00+09:00,도막 손상부 보수 도장,,,,,DRAFT
W011,의장 2구역 브래킷 절단,HOT_WORK,OUTFIT_2,2026-03-16T09:00:00+09:00,2026-03-16T12:00:00+09:00,브래킷 절단 작업,,,,,REVIEWED
W012,의장 2구역 하도 도장,PAINTING,OUTFIT_2,2026-03-16T12:00:00+09:00,2026-03-16T15:00:00+09:00,하도 도장,,,,,DRAFT
W013,A블록 1구역 마킹 절단,HOT_WORK,A_BLOCK_1,2026-03-17T09:00:00+09:00,2026-03-17T12:00:00+09:00,마킹 후 절단,,,,,REVIEWED
W014,2도크 갑판 도장,PAINTING,DOCK_2,2026-03-17T10:00:00+09:00,2026-03-17T13:00:00+09:00,갑판 상부 도장,,,,,DRAFT
W015,조립장 1 소조립 용접,HOT_WORK,ASSEMBLY_1,2026-03-17T09:00:00+09:00,2026-03-17T12:00:00+09:00,소조립 부재 용접,,,,,REVIEWED
W016,조립장 1 가연성 도료 도장,PAINTING,ASSEMBLY_1,2026-03-17T10:00:00+09:00,2026-03-17T13:00:00+09:00,가연성 도료 사용 도장,true,,,,DRAFT
W017,도장공장 설비 용접 보수,HOT_WORK,PAINT_SHOP,2026-03-17T08:00:00+09:00,2026-03-17T11:00:00+09:00,배기설비 용접 보수,,,,,REVIEWED
W018,도장공장 유기용제 희석,SOLVENT_WORK,PAINT_SHOP,2026-03-17T09:00:00+09:00,2026-03-17T10:00:00+09:00,도료 희석 작업,true,,,,DRAFT
W019,의장 1구역 배관 용접,HOT_WORK,OUTFIT_1,2026-03-17T13:00:00+09:00,2026-03-17T16:00:00+09:00,배관 지지대 용접,,,,,REVIEWED
W020,의장 1구역 도료 자재 반입,OTHER,OUTFIT_1,2026-03-17T14:00:00+09:00,2026-03-17T15:00:00+09:00,도료 드럼 반입,true,,,,DRAFT
W021,의장 2구역 형강 절단,HOT_WORK,OUTFIT_2,2026-03-17T09:00:00+09:00,2026-03-17T11:00:00+09:00,형강 절단,,,,,REVIEWED
W022,의장 2구역 자재 정리,OTHER,OUTFIT_2,2026-03-17T10:00:00+09:00,2026-03-17T12:00:00+09:00,자재 정리 작업,,,,,DRAFT
